run,method,latency_ms,batches
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,469.0000000009604,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,454.0000000015425,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,405.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,438.00000000192085,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,390.99999999962165,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,438.00000000192085,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,390.99999999962165,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,436.99999999807915,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,405.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,405.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,422.0000000022992,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,421.9999999986612,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,407.0000000028813,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,389.9999999994179,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,437.0000000017171,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,592.9999999971187,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,405.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,360.0000000005821,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,610.0000000005821,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,421.9999999986612,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,530.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,421.9999999986612,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,422.0000000022992,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,359.00000000037835,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,436.99999999807915,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,389.9999999994179,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,422.0000000022992,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,594.0000000009604,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,406.9999999992433,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,420.9999999984575,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,422.0000000022992,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,436.99999999807915,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,407.0000000028813,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,390.99999999962165,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,420.9999999984575,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,468.99999999732245,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,391.00000000325963,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,483.99999999674037,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,407.0000000028813,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,421.9999999986612,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,453.0000000013388,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,405.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,406.00000000267755,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,421.9999999986612,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,389.9999999994179,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,453.0000000013388,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,421.9999999986612,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,391.00000000325963,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,389.9999999994179,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,359.00000000037835,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,390.99999999962165,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,406.00000000267755,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,421.9999999986612,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_3z/jev,jev_only,437.0000000017171,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,1233.9999999967404,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,391.00000000325963,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,453.00000000861473,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,390.9999999887077,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,438.0000000091968,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,453.00000000861473,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,437.9999999946449,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,389.9999999994179,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,437.9999999946449,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,422.0000000059372,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,468.00000000803266,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,405.99999998812564,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,437.0000000053551,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,452.9999999940628,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,422.0000000059372,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,422.0000000059372,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,436.9999999908032,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,453.00000000861473,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,421.99999999138527,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,389.9999999994179,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,389.9999999994179,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,453.9999999979045,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,389.9999999994179,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.99999999196734,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,452.9999999940628,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,437.0000000053551,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,422.0000000059372,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,375.0,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,391.00000000325963,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,375.0,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,375.0,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,437.9999999946449,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,360.0000000005821,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,391.00000000325963,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,407.00000000651926,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,375.0,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,391.00000000325963,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,436.9999999908032,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,407.00000000651926,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,500.0,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,437.9999999946449,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,437.0000000053551,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,468.99999999732245,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,421.0000000020955,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.99999999196734,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,438.0000000091968,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,515.9999999887077,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,422.0000000059372,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,421.99999999138527,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,407.00000000651926,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,437.9999999946449,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,500.0,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,437.9999999946449,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,453.00000000861473,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,405.99999998812564,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,437.0000000053551,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,500.0,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,437.0000000053551,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,500.0,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,438.0000000091968,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,484.0000000112923,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,389.9999999994179,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,468.99999999732245,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,781.0000000026776,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,421.99999999138527,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,438.0000000091968,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,391.00000000325963,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,405.99999998812564,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,437.0000000053551,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,421.99999999138527,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,453.00000000861473,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,389.9999999994179,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,421.99999999138527,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,421.99999999138527,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,422.0000000059372,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,436.9999999908032,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,483.99999999674037,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,421.99999999138527,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,389.9999999994179,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,483.99999999674037,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,421.99999999138527,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,422.0000000059372,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,406.00000000267755,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,421.99999999138527,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,391.00000000325963,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,437.9999999946449,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,407.00000000651926,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,391.00000000325963,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,421.99999999138527,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,468.00000000803266,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,390.9999999887077,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,391.00000000325963,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,452.9999999940628,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,422.0000000059372,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,436.9999999908032,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,422.0000000059372,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,389.9999999994179,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,375.0,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,390.9999999887077,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,437.0000000053551,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,422.0000000059372,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,422.0000000059372,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,421.0000000020955,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,421.99999999138527,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,421.0000000020955,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,390.9999999887077,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,389.9999999994179,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,375.0,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,360.0000000005821,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,391.00000000325963,1
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3s_vs_3z/jev,jev_gpt6,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,844.0000000009604,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,389.9999999994179,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,405.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,405.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,391.00000000325963,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,436.99999999807915,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,406.00000000267755,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,390.99999999962165,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,452.9999999977008,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,422.0000000022992,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,422.0000000022992,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,405.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,389.9999999994179,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,405.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,422.0000000022992,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,421.9999999986612,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,390.99999999962165,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,389.9999999994179,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,390.99999999962165,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,422.0000000022992,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,469.0000000009604,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,390.99999999962165,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,405.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,422.0000000022992,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,390.99999999962165,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,420.9999999984575,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,391.00000000325963,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,467.9999999971187,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,469.0000000009604,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,625.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,437.0000000017171,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,405.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,437.0000000017171,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,390.99999999962165,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,405.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,421.9999999986612,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,405.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,562.0000000017171,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,421.9999999986612,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,406.00000000267755,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,389.9999999994179,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,390.99999999962165,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,405.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,438.00000000192085,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,328.0000000013388,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,717.9999999971187,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,454.0000000015425,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,390.99999999962165,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,891.0000000032596,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,405.9999999990396,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,360.0000000005821,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,422.0000000022992,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,390.99999999962165,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,375.0,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,389.9999999994179,1
smac-hard/jev_runs/all-maps-20260921-001/3s_vs_4z/jev,jev_only,406.00000000267755,1
